step,episode,epoch,epoch step,epoch_episode,episode step,score,epsilon,beta,avg_pos_reward_ratio,avg_neg_reward_ratio,avg_loss
1000,0,0,1000,1,999,0.9234999793581664,1.0,0,0.0,0.0,0.0
2000,1,0,2000,2,999,0.7544999831356108,0.97,0,0.0,0.0,0.0
3000,2,0,3000,3,999,0.7844999824650586,0.9409,0,0.0,0.0,0.0
4000,3,0,4000,4,999,1.2404999722726644,0.912673,0,0.0,0.0,0.0
5000,4,0,5000,5,999,1.916999957151711,0.8852928099999999,0,0.0,0.0,0.0
6000,5,0,6000,6,999,2.377999946847558,0.8587340256999999,0,0.0,0.0,0.0
7000,6,0,7000,7,999,2.260999949462712,0.8329720049289999,0,0.0,0.0,0.0
8000,7,0,8000,8,999,2.9784999334253373,0.8079828447811299,0,0.0,0.0,0.0
9000,8,0,9000,9,999,3.3554999249987305,0.783743359437696,0,0.0,0.0,0.0
10000,9,0,10000,10,999,3.9594999114982783,0.7602310586545651,0,0.0,0.0,0.0
11000,10,1,1000,1,999,3.980499911028892,0.7374241268949281,0,0.0,0.0,0.0
12000,11,1,2000,2,999,4.289499904122204,0.7153014030880802,0,0.0,0.0,0.0
13000,12,1,3000,3,999,5.439499878417701,0.6938423609954378,0,0.0,0.0,0.0
14000,13,1,4000,4,999,5.95049986699596,0.6730270901655747,0,0.0,0.0,0.0
15000,14,1,5000,5,999,6.447999855875969,0.6528362774606075,0,0.0,0.0,0.0
16000,15,1,6000,6,999,8.564999808557332,0.6332511891367892,0,0.0,0.0,0.0
17000,16,1,7000,7,999,9.07349979719147,0.6142536534626856,0,0.0,0.0,0.0
18000,17,1,8000,8,999,10.916499755997211,0.595826043858805,0,0.0,0.0,0.0
19000,18,1,9000,9,999,9.732999782450497,0.5779512625430409,0,0.0,0.0,0.0
20000,19,1,10000,10,999,12.689999716356397,0.5606127246667496,0,0.0,0.0,0.0
21000,20,2,1000,1,999,12.650999717228114,0.5437943429267471,0,0.0,0.0,0.0
22000,21,2,2000,2,999,15.037999663874507,0.5274805126389447,0,0.0,0.0,0.0
23000,22,2,3000,3,999,15.140499661583453,0.5116560972597763,0,0.0,0.0,0.0
24000,23,2,4000,4,999,8.025499820616096,0.496306414341983,0,0.0,0.0,0.0
25000,24,2,5000,5,999,16.32899963501841,0.48141722191172354,0,0.0,0.0,0.0
26000,25,2,6000,6,999,21.09199952855706,0.4669747052543718,0,0.0,0.0,0.0
27000,26,2,7000,7,999,21.856499511469156,0.4529654640967406,0,0.0,0.0,0.0
28000,27,2,8000,8,999,26.77099940162152,0.4393765001738384,0,0.0,0.0,0.0
29000,28,2,9000,9,999,26.152499415446073,0.42619520516862325,0,0.0,0.0,0.0
30000,29,2,10000,10,999,25.922499420586973,0.4134093490135645,0,0.0,0.0,0.0
31000,30,3,1000,1,999,29.26149934595451,0.4010070685431576,0,0.0,0.0,0.0
32000,31,3,2000,2,999,27.028999395854772,0.38897685648686287,0,0.0,0.0,0.0
33000,32,3,3000,3,999,27.088999394513667,0.377307550792257,0,0.0,0.0,0.0
34000,33,3,4000,4,999,28.137499371077865,0.36598832426848926,0,0.0,0.0,0.0
35000,34,3,5000,5,999,32.42799927517772,0.35500867454043455,0,0.0,0.0,0.0
36000,35,3,6000,6,999,31.78999928943813,0.3443584143042215,0,0.0,0.0,0.0
37000,36,3,7000,7,999,31.83749928837642,0.3340276618750948,0,0.0,0.0,0.0
38000,37,3,8000,8,999,33.83799924366176,0.32400683201884195,0,0.0,0.0,0.0
39000,38,3,9000,9,999,34.34999923221767,0.3142866270582767,0,0.0,0.0,0.0
40000,39,3,10000,10,999,34.98949921792373,0.3048580282465284,0,0.0,0.0,0.0
41000,40,4,1000,1,999,34.99949921770021,0.2957122873991326,0,0.0,0.0,0.0
42000,41,4,2000,2,999,33.82199924401939,0.2868409187771586,0,0.0,0.0,0.0
43000,42,4,3000,3,999,34.86949922060594,0.27823569121384384,0,0.0,0.0,0.0
44000,43,4,4000,4,999,34.947499218862504,0.2698886204774285,0,0.0,0.0,0.0
45000,44,4,5000,5,999,32.938499263767156,0.26179196186310566,0,0.0,0.0,0.0
46000,45,4,6000,6,999,32.44549927478656,0.2539382030072125,0,0.0,0.0,0.0
47000,46,4,7000,7,999,37.15299916956574,0.2463200569169961,0,0.0,0.0,0.0
48000,47,4,8000,8,999,35.77849920028821,0.23893045520948622,0,0.0,0.0,0.0
49000,48,4,9000,9,999,36.76249917829409,0.23176254155320164,0,0.0,0.0,0.0
50000,49,4,10000,10,999,35.926499196980146,0.2248096653066056,0,0.0,0.0,0.0
51000,50,5,1000,1,999,36.61699918154627,0.21806537534740741,0,0.0,0.0,0.0
52000,51,5,2000,2,999,34.92899921927601,0.2115234140869852,0,0.0,0.0,0.0
53000,52,5,3000,3,999,35.463999207317826,0.20517771166437562,0,0.0,0.0,0.0
54000,53,5,4000,4,999,36.5429991832003,0.19902238031444436,0,0.0,0.0,0.0
55000,54,5,5000,5,999,36.99749917304143,0.19305170890501103,0,0.0,0.0,0.0
56000,55,5,6000,6,999,35.940499196667226,0.1872601576378607,0,0.0,0.0,0.0
57000,56,5,7000,7,999,34.65499922540039,0.18164235290872485,0,0.0,0.0,0.0
58000,57,5,8000,8,999,35.90599919743836,0.1761930823214631,0,0.0,0.0,0.0
59000,58,5,9000,9,999,35.179999213665724,0.17090728985181922,0,0.0,0.0,0.0
60000,59,5,10000,10,999,35.78649920010939,0.16578007115626464,0,0.0,0.0,0.0
61000,60,6,1000,1,999,35.75599920079112,0.1608066690215767,0,0.0,0.0,0.0
62000,61,6,2000,2,999,36.97249917360023,0.1559824689509294,0,0.0,0.0,0.0
63000,62,6,3000,3,999,36.72049917923287,0.1513029948824015,0,0.0,0.0,0.0
64000,63,6,4000,4,999,35.29799921102822,0.14676390503592945,0,0.0,0.0,0.0
65000,64,6,5000,5,999,36.59499918203801,0.14236098788485158,0,0.0,0.0,0.0
66000,65,6,6000,6,999,36.95499917399138,0.13809015824830603,0,0.0,0.0,0.0
67000,66,6,7000,7,999,37.63749915873632,0.13394745350085685,0,0.0,0.0,0.0
68000,67,6,8000,8,999,38.1924991463311,0.12992902989583113,0,0.0,0.0,0.0
69000,68,6,9000,9,999,37.677999157831074,0.1260311589989562,0,0.0,0.0,0.0
70000,69,6,10000,10,999,37.043499172013256,0.12225022422898751,0,0.0,0.0,0.0
71000,70,7,1000,1,999,36.18499919120222,0.11858271750211788,0,0.0,0.0,0.0
72000,71,7,2000,2,999,37.17649916904047,0.11502523597705434,0,0.0,0.0,0.0
73000,72,7,3000,3,999,37.51199916154146,0.1115744788977427,0,0.0,0.0,0.0
74000,73,7,4000,4,999,37.07099917139858,0.10822724453081042,0,0.0,0.0,0.0
75000,74,7,5000,5,999,36.99349917313084,0.10498042719488611,0,0.0,0.0,0.0
76000,75,7,6000,6,999,37.4484991629608,0.10183101437903952,0,0.0,0.0,0.0
77000,76,7,7000,7,999,37.735999156534675,0.1,0,0.0,0.0,0.0
78000,77,7,8000,8,999,36.99299917314202,0.1,0,0.0,0.0,0.0
79000,78,7,9000,9,999,35.70399920195341,0.1,0,0.0,0.0,0.0
80000,79,7,10000,10,999,37.09249917091802,0.1,0,0.0,0.0,0.0
81000,80,8,1000,1,999,37.20099916849286,0.1,0,0.0,0.0,0.0
82000,81,8,2000,2,999,37.78849915536121,0.1,0,0.0,0.0,0.0
83000,82,8,3000,3,999,37.19149916870519,0.1,0,0.0,0.0,0.0
84000,83,8,4000,4,999,33.9899992402643,0.1,0,0.0,0.0,0.0
85000,84,8,5000,5,999,36.23199919015169,0.1,0,0.0,0.0,0.0
86000,85,8,6000,6,999,36.290499188844116,0.1,0,0.0,0.0,0.0
87000,86,8,7000,7,999,36.51049918392673,0.1,0,0.0,0.0,0.0
88000,87,8,8000,8,999,37.76499915588647,0.1,0,0.0,0.0,0.0
89000,88,8,9000,9,999,37.469999162480235,0.1,0,0.0,0.0,0.0
90000,89,8,10000,10,999,37.898999152891335,0.1,0,0.0,0.0,0.0
91000,90,9,1000,1,999,38.323499143403026,0.1,0,0.0,0.0,0.0
92000,91,9,2000,2,999,37.685499157663436,0.1,0,0.0,0.0,0.0
93000,92,9,3000,3,999,38.793999132886526,0.1,0,0.0,0.0,0.0
94000,93,9,4000,4,999,38.765499133523555,0.1,0,0.0,0.0,0.0
95000,94,9,5000,5,999,38.749999133870006,0.1,0,0.0,0.0,0.0
96000,95,9,6000,6,999,38.28849914418534,0.1,0,0.0,0.0,0.0
